student_id,age,sex,native_language,smartphone_model
S01,25 ,M ,Nepalese ,Iphone 12 
S02,21 ,M ,Dutch ,Iphone 12 
S03,21 ,F ,Dutch ,Iphone 12 
S04,24 ,F ,Dutch ,Iphone 12 
S05,24 ,M ,French ,Xiaomi 13 
S06,20 ,M ,Indonesian ,Xiaomi 13 
S07,21 ,F ,Dutch ,Iphone 13 
S08,22 ,F ,Dutch ,Iphone 13 
S09,21 ,M ,Dutch ,Iphone 16 
S10,21 ,F ,Dutch ,Iphone 16 
S11,21 ,M ,Spanish ,Iphone 14 
S12,25 ,F ,Spanish ,Iphone 14 
S13,21 ,F ,Dutch ,Iphone 15 
S14,21 ,F ,Dutch ,Iphone 15 
S15,22 ,M ,Dutch ,Iphone 13 mini 
S16,22 ,F ,Dutch ,Iphone 13 mini 
S17,23 ,F ,Dutch ,Iphone 11 
S18,25 ,F ,English ,Iphone 11 
S19,22 ,M ,Swiss German ,Iphone 17 
S20,22 ,F ,Swiss German ,Iphone 17 
S21,21 ,F ,Dutch ,Iphone 12 mini 
S22,22 ,F ,Dutch ,Iphone 12 mini 
S23,21 ,M ,Dutch ,IPHONE XR 
S24,25 ,F ,CHINESE ,IPHONE XR 
S25,22 ,F ,Romanian ,Iphone 13 pro 
S26,24 ,F ,French/ Arabic ,Iphone 13 pro 
S27,21 ,M ,French ,Iphone 16E 
S28,23 ,F ,French ,Iphone 16E 
S29,23 ,F ,French ,Iphone 16E 
S30,25 ,M ,Durch ,Samsung S25 
S31,24 ,M ,Turks ,Samsung S25 
S32,22 ,F ,Dutch ,Iphone 13 
S33,23 ,M ,Dutch ,Iphone 13 
S34,21 ,M ,Spanish ,Iphone 14 
S35,22 ,F ,Spanish ,Iphone 14 
